nama_pembeli,total_nominal
TOKO DEDES,38420000.0
MEKAR SARI,38093800.0
TOKO EKO BUDI WINASIS ,37508650.0
TOKO AMRAN ,34671050.0
TOKO WARUNG SANTI,33607900.0
TOKO SUPER STOCK,33422450.0
KOPERASI BRI MELAWI,32422400.0
TPK PASAR JUNJUNG BUIH,32040000.0
TOKO ODONG SOBARI ,31500000.0
TOKO BAS JAYA,30600000.0
TOKO ALIKA,28833150.0
KARUNIA,28558700.0
TOKO FATHULLAH ZIKRI,28487600.0
TOKO QOYIM MASYAHARI ,26686500.0
TOKO HENDRA. S ,26365000.0
TOKO AHMAD PUTRA ,26110300.0
ANDY,26105700.0
Harya Sari,25094800.0
TOKO USAHA ,24990700.0
TOKO DWI RETNO SAMUDRO,24527208.0
TOKO RAHMAD,23823000.0
TOKO IFAL,22060000.0
TOKO IDAWATI ,21851750.0
TOKO REVAN,21743850.0
TOKO KARYA BINJAI,21646550.0
TOKO FLORENTINA ,21122500.0
TOKO ENDANG RASMINI ,20985000.0
TOKO KEDAI YUDA,19406750.0
Ummi,19267250.0
TOKO SUBIANTO ,18004950.0
PT. BANK RAKYAT INDONESIA (PERSERO) Tbk.,16185000.0
TOKO ASSYAKIRIN,16170000.0
TOKO CUCUM ,15750000.0
TOKO SRI WAHYUNI ,15750000.0
TOKO ACAP ,15750000.0
TOKO. BUMDES JAYA ,15276100.0
TOKO DHEMA,14367250.0
TOKO ALIF,13800000.0
TOKO. M. FAHRIZA,13729200.0
TOKO CAH HERU ,13125000.0
TOKO AANG  DARMAWAN ,13125000.0
TOKO HERMANSYAH ,11780000.0
TOKO KINORA,10783870.0
TOKO GATOT SUBROTO ,10500000.0
TOKO MUHAMMAD RONI ,9589000.0
TOKO RUSMALA ,9558500.0
TOKO LANSIA,9307800.0
Langkah Jaya,8968000.0
TOKO NURJANAH,7916800.0
RUDIMAS,7380000.0
TOKO DOA IBU,7370000.0
TOKO BUMDES TERTUNG,7304000.0
TOKO JANUR SAPUTRA ,6728000.0
TOKO CHALLISTA,6494200.0
TOKO HANAFI,6353800.0
TOKO SIMUS ,5422500.0
TOKO SITI CHOMSAH ,3238500.0
TOKO MUHAMMAD JUMADI ,2851200.0
